ID,RetweetCt,Polarity,Subjectivity,CreatedTime,CreatedDay,TextLength,WordCt,AccountAgeMo,UserFollowersCt,Keywords,HasLinks
"""850822484446167040""",43,0.0,0.0,15:27,Sat,15,1,35,120661,['@rebelliousbass'],True
"""850760377105240064""",15,0.0,0.0,11:20,Sat,116,16,35,120661,"['@lilianaespo', '@wffhq', '@dawnsweeney', '@kvpalooza', '@dposted', 'hey', 'liliana', 'carter', 'seen', 'retweeted']",True
"""850591810359447553""",260,0.5,0.6,00:11,Sat,39,6,35,120661,"['@pewdiepie', 'love', 'daddy']",False
"""850576435446075392""",2,0.7,0.6000000000000001,23:09,Fri,35,5,35,120661,"['@whodknee_', '@eandk_', 'damn', 'good', 'catch']",False
"""850513744094310400""",306,0.44583333333333336,0.8166666666666668,19:00,Fri,120,21,35,120661,"['@aj', 'sounds', 'like', 'amazing', 'opportunity', 'need', 'all', 'chicken', 'nuggets', 'might', 'aswell', 'good', 'out']",False
"""850508134690967552""",11,0.0,0.0,18:38,Fri,41,6,35,120661,"['@psuromeo', '@wendys', 'thank', 'support', '@psuromeo', '@wendys', 'thank', 'support']",False
"""850494799601741824""",11,0.0,0.0,17:45,Fri,45,8,35,120661,"['@carterrlayne', 'course', 'ship']",False
"""850492317895057408""",1,0.0,0.0,17:35,Fri,41,8,35,120661,"['@amandabee', 'told']",False
"""850445156025225216""",83,0.0,0.0,14:28,Fri,34,5,35,120661,"['@burgerking', 'rather', 'wendys']",False
"""850393206038470656""",23,0.0,0.0,11:01,Fri,16,3,35,120661,"['@wendys', 'shook']",False
"""850391765324517376""",37,0.0,0.0,10:56,Fri,29,2,35,120661,"['@theellenshow', '#nuggsforcarter']",False
"""850380433950785536""",2894,0.0,0.0,10:11,Fri,98,16,35,120661,"['million', 'baby', 'way', 'let', 'get', 'trending', '#nuggsforcarter', '@theellenshow']",False
"""850330608530210816""",6,0.1,1.0,06:53,Fri,29,6,35,120661,"['@dreszt', 'far', 'gone']",False
"""850184973596282880""",253,0.0,0.0,21:14,Thu,38,6,35,120661,"['@theellenshow', 'coming', 'ellen']",False
"""850184867191037954""",27,0.0,0.0,21:14,Thu,115,9,35,120661,"['@redneckxice', '@wntyvn', '@rafficlassiy', '@tom_ruffin', '@conanobrien', '@jimmyfallon', '@theellenshow', '@meninisttweet', '@mcdonalds']",True
"""850168666805067777""",10,0.0,0.0,20:09,Thu,40,6,35,120661,"['@hhproductions', 'can', 'retweet', 'father']",False
"""850167050651566080""",328,0.0,0.0,20:03,Thu,15,1,35,120661,['#nuggsforcarter'],False
"""850161924180291584""",1,0.0,0.0,19:42,Thu,32,5,35,120661,"['@ilaurenjohnson_', 'gold']",False
"""850151839605571584""",3,0.0,0.0,19:02,Thu,15,3,35,120661,"['@jvime', 'omg', 'yes']",False
"""850149241041305600""",6,0.0,0.0,18:52,Thu,52,10,35,120661,"['@twitter', 'gonna', 'get', 'trending', 'page']",False
"""850148068896919553""",4574,0.3,0.43333333333333335,18:47,Thu,49,10,35,120661,"['next', 'time', 'eat', 'better', 'free', '@wendys']",True
"""850143773124313088""",2202,0.0,0.0,18:30,Thu,55,4,35,120661,"['@conanobrien', '@jimmyfallon', '@theellenshow', '@meninisttweet']",False
"""850143539535126528""",20,0.0,0.0,18:29,Thu,32,9,35,120661,"['btw', 'fund', 'joke']",False
"""850140751023398913""",14,0.0,0.0,18:18,Thu,70,12,35,120661,"['@theellenshow', 'will', 'take', 'get', 'show']",False
"""850129561236852736""",0,0.0,0.0,17:34,Thu,11,2,35,120661,['@phillyd'],False
"""850100732502183937""",84,0.0,0.0,15:39,Thu,50,9,35,120661,"['@markpygas', '@wendys', '@hellxxn', 'nug']",False
